ISO 693-3,Language Name,MMSTTS,ethnologuelink,Population Text,Population Estimate,lang_prefix,Total TTS,Variants,Online,Offline
ahr,Ahirani,,"<a href=""https://www.ethnologue.com/language/ahr"">Ethnologue</a>",1M to 1B,500000000,ahr,0,0,0,0
ahs,Ashe,,"<a href=""https://www.ethnologue.com/language/ahs"">Ethnologue</a>",10K to 1M,500000,ahs,0,0,0,0
aia,Arosi,y,"<a href=""https://www.ethnologue.com/language/aia"">Ethnologue</a>",10K to 1M,500000,aia,1,1,0,1
aif,Agi,,"<a href=""https://www.ethnologue.com/language/aif"">Ethnologue</a>",Less than 10K,9900,aif,0,0,0,0
aii,Assyrian Neo-Aramaic,,"<a href=""https://www.ethnologue.com/language/aii"">Ethnologue</a>",10K to 1M,500000,aii,0,0,0,0
aik,Akye,,"<a href=""https://www.ethnologue.com/language/aik"">Ethnologue</a>",Less than 10K,9900,aik,0,0,0,0
aim,Aimol,,"<a href=""https://www.ethnologue.com/language/aim"">Ethnologue</a>",Less than 10K,9900,aim,0,0,0,0
aio,Aiton,,"<a href=""https://www.ethnologue.com/language/aio"">Ethnologue</a>",Less than 10K,9900,aio,0,0,0,0
aiw,Aari,,"<a href=""https://www.ethnologue.com/language/aiw"">Ethnologue</a>",10K to 1M,500000,aiw,0,0,0,0
aix,Aighon,,"<a href=""https://www.ethnologue.com/language/aix"">Ethnologue</a>",Less than 10K,9900,aix,0,0,0,0
ajg,Aja,,"<a href=""https://www.ethnologue.com/language/ajg"">Ethnologue</a>",1M to 1B,500000000,ajg,0,0,0,0
aji,Ajië,,"<a href=""https://www.ethnologue.com/language/aji"">Ethnologue</a>",Less than 10K,9900,aji,0,0,0,0
aka,Akan,y,"<a href=""https://www.ethnologue.com/language/aka"">Ethnologue</a>",1M to 1B,500000000,ak,4,4,0,4
akb,Batak Angkola,y,"<a href=""https://www.ethnologue.com/language/akb"">Ethnologue</a>",10K to 1M,500000,akb,1,1,0,1
akc,Mpur,,"<a href=""https://www.ethnologue.com/language/akc"">Ethnologue</a>",Less than 10K,9900,akc,0,0,0,0
ake,Akawaio,y,"<a href=""https://www.ethnologue.com/language/ake"">Ethnologue</a>",Less than 10K,9900,ake,1,1,0,1
akf,Akpa,,"<a href=""https://www.ethnologue.com/language/akf"">Ethnologue</a>",10K to 1M,500000,akf,0,0,0,0
akg,Anakalangu,,"<a href=""https://www.ethnologue.com/language/akg"">Ethnologue</a>",10K to 1M,500000,akg,0,0,0,0
akh,Angal Heneng,,"<a href=""https://www.ethnologue.com/language/akh"">Ethnologue</a>",10K to 1M,500000,akh,0,0,0,0
aki,Aiome,,"<a href=""https://www.ethnologue.com/language/aki"">Ethnologue</a>",Less than 10K,9900,aki,0,0,0,0
akl,Aklanon,,"<a href=""https://www.ethnologue.com/language/akl"">Ethnologue</a>",10K to 1M,500000,akl,0,0,0,0
akp,Siwu,y,"<a href=""https://www.ethnologue.com/language/akp"">Ethnologue</a>",10K to 1M,500000,akp,1,1,0,1
akq,Ak,,"<a href=""https://www.ethnologue.com/language/akq"">Ethnologue</a>",,,akq,0,0,0,0
akr,Araki,,"<a href=""https://www.ethnologue.com/language/akr"">Ethnologue</a>",Less than 10K,9900,akr,0,0,0,0
aks,Akaselem,,"<a href=""https://www.ethnologue.com/language/aks"">Ethnologue</a>",10K to 1M,500000,aks,0,0,0,0
akt,Akolet,,"<a href=""https://www.ethnologue.com/language/akt"">Ethnologue</a>",Less than 10K,9900,akt,0,0,0,0
aku,Akum,,"<a href=""https://www.ethnologue.com/language/aku"">Ethnologue</a>",Less than 10K,9900,aku,0,0,0,0
akw,Akwa,,"<a href=""https://www.ethnologue.com/language/akw"">Ethnologue</a>",10K to 1M,500000,akw,0,0,0,0
ala,Alago,,"<a href=""https://www.ethnologue.com/language/ala"">Ethnologue</a>",10K to 1M,500000,ala,0,0,0,0
ald,Alladian,,"<a href=""https://www.ethnologue.com/language/ald"">Ethnologue</a>",10K to 1M,500000,ald,0,0,0,0
ale,Aleut,,"<a href=""https://www.ethnologue.com/language/ale"">Ethnologue</a>",Less than 10K,9900,ale,0,0,0,0
alf,Elege,,"<a href=""https://www.ethnologue.com/language/alf"">Ethnologue</a>",10K to 1M,500000,alf,0,0,0,0
alh,Alawa,,"<a href=""https://www.ethnologue.com/language/alh"">Ethnologue</a>",,,alh,0,0,0,0
alj,Alangan,y,"<a href=""https://www.ethnologue.com/language/alj"">Ethnologue</a>",10K to 1M,500000,alj,1,1,0,1
alk,Alak,,"<a href=""https://www.ethnologue.com/language/alk"">Ethnologue</a>",10K to 1M,500000,alk,0,0,0,0
all,Allar,,"<a href=""https://www.ethnologue.com/language/all"">Ethnologue</a>",Less than 10K,9900,all,0,0,0,0
alp,Alune,y,"<a href=""https://www.ethnologue.com/language/alp"">Ethnologue</a>",10K to 1M,500000,alp,1,1,0,1
alq,Algonquin,,"<a href=""https://www.ethnologue.com/language/alq"">Ethnologue</a>",Less than 10K,9900,alq,0,0,0,0
alt,"Altai, Southern",y,"<a href=""https://www.ethnologue.com/language/alt"">Ethnologue</a>",10K to 1M,500000,alt,1,1,0,1
alu,’Are’are,,"<a href=""https://www.ethnologue.com/language/alu"">Ethnologue</a>",10K to 1M,500000,alu,0,0,0,0
alw,Alaba-K’abeena,,"<a href=""https://www.ethnologue.com/language/alw"">Ethnologue</a>",10K to 1M,500000,alw,0,0,0,0
alx,Amol,,"<a href=""https://www.ethnologue.com/language/alx"">Ethnologue</a>",Less than 10K,9900,alx,0,0,0,0
aly,Alyawarr,,"<a href=""https://www.ethnologue.com/language/aly"">Ethnologue</a>",Less than 10K,9900,aly,0,0,0,0
alz,Alur,y,"<a href=""https://www.ethnologue.com/language/alz"">Ethnologue</a>",1M to 1B,500000000,alz,1,1,0,1
amb,Ambo,,"<a href=""https://www.ethnologue.com/language/amb"">Ethnologue</a>",Less than 10K,9900,amb,0,0,0,0
amc,Amahuaca,,"<a href=""https://www.ethnologue.com/language/amc"">Ethnologue</a>",Less than 10K,9900,amc,0,0,0,0
ame,Yanesha’,y,"<a href=""https://www.ethnologue.com/language/ame"">Ethnologue</a>",Less than 10K,9900,ame,1,1,0,1
amf,Hamer-Banna,y,"<a href=""https://www.ethnologue.com/language/amf"">Ethnologue</a>",10K to 1M,500000,amf,1,1,0,1
amh,Amharic,y,"<a href=""https://www.ethnologue.com/language/amh"">Ethnologue</a>",1M to 1B,500000000,am,7,6,2,5
ami,Amis,y,"<a href=""https://www.ethnologue.com/language/ami"">Ethnologue</a>",10K to 1M,500000,ami,1,1,0,1
amk,Ambai,y,"<a href=""https://www.ethnologue.com/language/amk"">Ethnologue</a>",10K to 1M,500000,amk,1,1,0,1
amm,Sawiyanu,,"<a href=""https://www.ethnologue.com/language/amm"">Ethnologue</a>",Less than 10K,9900,amm,0,0,0,0
amn,Amanab,,"<a href=""https://www.ethnologue.com/language/amn"">Ethnologue</a>",Less than 10K,9900,amn,0,0,0,0
amo,Amo,,"<a href=""https://www.ethnologue.com/language/amo"">Ethnologue</a>",10K to 1M,500000,amo,0,0,0,0
amr,Amarakaeri,,"<a href=""https://www.ethnologue.com/language/amr"">Ethnologue</a>",Less than 10K,9900,amr,0,0,0,0
amt,Amto,,"<a href=""https://www.ethnologue.com/language/amt"">Ethnologue</a>",Less than 10K,9900,amt,0,0,0,0
amu,"Amuzgo, Guerrero",,"<a href=""https://www.ethnologue.com/language/amu"">Ethnologue</a>",10K to 1M,500000,amu,0,0,0,0
anc,Ngas,,"<a href=""https://www.ethnologue.com/language/anc"">Ethnologue</a>",10K to 1M,500000,anc,0,0,0,0
anf,Animere,,"<a href=""https://www.ethnologue.com/language/anf"">Ethnologue</a>",,,anf,0,0,0,0
anj,Anor,,"<a href=""https://www.ethnologue.com/language/anj"">Ethnologue</a>",Less than 10K,9900,anj,0,0,0,0
ank,Goemai,,"<a href=""https://www.ethnologue.com/language/ank"">Ethnologue</a>",10K to 1M,500000,ank,0,0,0,0
anl,"Chin, Anu-Khongso",,"<a href=""https://www.ethnologue.com/language/anl"">Ethnologue</a>",Less than 10K,9900,anl,0,0,0,0
anm,Anal,,"<a href=""https://www.ethnologue.com/language/anm"">Ethnologue</a>",10K to 1M,500000,anm,0,0,0,0
ann,Obolo,y,"<a href=""https://www.ethnologue.com/language/ann"">Ethnologue</a>",10K to 1M,500000,ann,1,1,0,1
ano,Andoque,,"<a href=""https://www.ethnologue.com/language/ano"">Ethnologue</a>",Less than 10K,9900,ano,0,0,0,0
anp,Angika,,"<a href=""https://www.ethnologue.com/language/anp"">Ethnologue</a>",1M to 1B,500000000,anp,0,0,0,0
anr,Andh,,"<a href=""https://www.ethnologue.com/language/anr"">Ethnologue</a>",10K to 1M,500000,anr,0,0,0,0
anu,Anuak,,"<a href=""https://www.ethnologue.com/language/anu"">Ethnologue</a>",10K to 1M,500000,anu,0,0,0,0
anv,Denya,,"<a href=""https://www.ethnologue.com/language/anv"">Ethnologue</a>",10K to 1M,500000,anv,0,0,0,0
anw,Anaang,,"<a href=""https://www.ethnologue.com/language/anw"">Ethnologue</a>",1M to 1B,500000000,anw,0,0,0,0
anx,Andra-Hus,,"<a href=""https://www.ethnologue.com/language/anx"">Ethnologue</a>",Less than 10K,9900,anx,0,0,0,0
any,Anyin,y,"<a href=""https://www.ethnologue.com/language/any"">Ethnologue</a>",1M to 1B,500000000,any,1,1,0,1
aoe,Angal Enen,,"<a href=""https://www.ethnologue.com/language/aoe"">Ethnologue</a>",10K to 1M,500000,aoe,0,0,0,0
aof,Bragat,,"<a href=""https://www.ethnologue.com/language/aof"">Ethnologue</a>",Less than 10K,9900,aof,0,0,0,0
aog,Angoram,,"<a href=""https://www.ethnologue.com/language/aog"">Ethnologue</a>",Less than 10K,9900,aog,0,0,0,0
aoi,Anindilyakwa,,"<a href=""https://www.ethnologue.com/language/aoi"">Ethnologue</a>",Less than 10K,9900,aoi,0,0,0,0
aoj,Mufian,,"<a href=""https://www.ethnologue.com/language/aoj"">Ethnologue</a>",10K to 1M,500000,aoj,0,0,0,0
aol,Alor,,"<a href=""https://www.ethnologue.com/language/aol"">Ethnologue</a>",10K to 1M,500000,aol,0,0,0,0
aom,Ömie,,"<a href=""https://www.ethnologue.com/language/aom"">Ethnologue</a>",Less than 10K,9900,aom,0,0,0,0
aon,Weri,,"<a href=""https://www.ethnologue.com/language/aon"">Ethnologue</a>",Less than 10K,9900,aon,0,0,0,0
aot,Atong,,"<a href=""https://www.ethnologue.com/language/aot"">Ethnologue</a>",10K to 1M,500000,aot,0,0,0,0
aoz,Uab Meto,y,"<a href=""https://www.ethnologue.com/language/aoz"">Ethnologue</a>",10K to 1M,500000,aoz,1,1,0,1
apb,Sa’a,y,"<a href=""https://www.ethnologue.com/language/apb"">Ethnologue</a>",10K to 1M,500000,apb,1,1,0,1
ape,Bukiyip,,"<a href=""https://www.ethnologue.com/language/ape"">Ethnologue</a>",10K to 1M,500000,ape,0,0,0,0
apf,"Agta, Pahanan",,"<a href=""https://www.ethnologue.com/language/apf"">Ethnologue</a>",Less than 10K,9900,apf,0,0,0,0
apj,"Apache, Jicarilla",,"<a href=""https://www.ethnologue.com/language/apj"">Ethnologue</a>",Less than 10K,9900,apj,0,0,0,0
apm,"Apache, Mescalero-Chiricahua",,"<a href=""https://www.ethnologue.com/language/apm"">Ethnologue</a>",Less than 10K,9900,apm,0,0,0,0
apn,Apinayé,,"<a href=""https://www.ethnologue.com/language/apn"">Ethnologue</a>",Less than 10K,9900,apn,0,0,0,0
apr,Arop-Lokep,y,"<a href=""https://www.ethnologue.com/language/apr"">Ethnologue</a>",Less than 10K,9900,apr,1,1,0,1
aps,Orop,,"<a href=""https://www.ethnologue.com/language/aps"">Ethnologue</a>",Less than 10K,9900,aps,0,0,0,0
apt,Apatani,,"<a href=""https://www.ethnologue.com/language/apt"">Ethnologue</a>",10K to 1M,500000,apt,0,0,0,0
apu,Apurinã,,"<a href=""https://www.ethnologue.com/language/apu"">Ethnologue</a>",Less than 10K,9900,apu,0,0,0,0
apw,"Apache, Western",,"<a href=""https://www.ethnologue.com/language/apw"">Ethnologue</a>",10K to 1M,500000,apw,0,0,0,0
apy,Apalaí,,"<a href=""https://www.ethnologue.com/language/apy"">Ethnologue</a>",Less than 10K,9900,apy,0,0,0,0
apz,Safeyoka,,"<a href=""https://www.ethnologue.com/language/apz"">Ethnologue</a>",Less than 10K,9900,apz,0,0,0,0
aqg,Arigidi,,"<a href=""https://www.ethnologue.com/language/aqg"">Ethnologue</a>",10K to 1M,500000,aqg,0,0,0,0
aqm,Atohwaim,,"<a href=""https://www.ethnologue.com/language/aqm"">Ethnologue</a>",Less than 10K,9900,aqm,0,0,0,0
aqt,Angaité,,"<a href=""https://www.ethnologue.com/language/aqt"">Ethnologue</a>",Less than 10K,9900,aqt,0,0,0,0
ara,Arabic,y,"<a href=""https://www.ethnologue.com/language/ara"">Ethnologue</a>",Not Found,,ar,42,21,35,7
are,"Arrarnta, Western",,"<a href=""https://www.ethnologue.com/language/are"">Ethnologue</a>",Less than 10K,9900,are,0,0,0,0
arg,Aragonese,,"<a href=""https://www.ethnologue.com/language/arg"">Ethnologue</a>",10K to 1M,500000,an,2,2,0,2
arh,Arhuaco,,"<a href=""https://www.ethnologue.com/language/arh"">Ethnologue</a>",Less than 10K,9900,arh,0,0,0,0
arl,Arabela,y,"<a href=""https://www.ethnologue.com/language/arl"">Ethnologue</a>",,,arl,1,1,0,1
arn,Mapudungun,,"<a href=""https://www.ethnologue.com/language/arn"">Ethnologue</a>",10K to 1M,500000,arn,0,0,0,0
aro,Araona,,"<a href=""https://www.ethnologue.com/language/aro"">Ethnologue</a>",Less than 10K,9900,aro,0,0,0,0
arp,Arapaho,,"<a href=""https://www.ethnologue.com/language/arp"">Ethnologue</a>",Less than 10K,9900,arp,0,0,0,0
arr,Karo,,"<a href=""https://www.ethnologue.com/language/arr"">Ethnologue</a>",Less than 10K,9900,arr,0,0,0,0
arv,Arbore,,"<a href=""https://www.ethnologue.com/language/arv"">Ethnologue</a>",10K to 1M,500000,arv,0,0,0,0
arw,Arawak,,"<a href=""https://www.ethnologue.com/language/arw"">Ethnologue</a>",Less than 10K,9900,arw,0,0,0,0
arx,Aruá,,"<a href=""https://www.ethnologue.com/language/arx"">Ethnologue</a>",,,arx,0,0,0,0
asa,Asu,y,"<a href=""https://www.ethnologue.com/language/asa"">Ethnologue</a>",10K to 1M,500000,asa,1,1,0,1
asb,Assiniboine,,"<a href=""https://www.ethnologue.com/language/asb"">Ethnologue</a>",Less than 10K,9900,asb,0,0,0,0
asc,"Asmat, Casuarina Coast",,"<a href=""https://www.ethnologue.com/language/asc"">Ethnologue</a>",Less than 10K,9900,asc,0,0,0,0
asg,Cishingini,y,"<a href=""https://www.ethnologue.com/language/asg"">Ethnologue</a>",10K to 1M,500000,asg,1,1,0,1
asi,Buruwai,,"<a href=""https://www.ethnologue.com/language/asi"">Ethnologue</a>",Less than 10K,9900,asi,0,0,0,0
asm,Assamese,y,"<a href=""https://www.ethnologue.com/language/asm"">Ethnologue</a>",1M to 1B,500000000,as,5,4,2,3
aso,Dano,,"<a href=""https://www.ethnologue.com/language/aso"">Ethnologue</a>",10K to 1M,500000,aso,0,0,0,0
asr,Asuri,,"<a href=""https://www.ethnologue.com/language/asr"">Ethnologue</a>",Less than 10K,9900,asr,0,0,0,0
ass,Ipulo,,"<a href=""https://www.ethnologue.com/language/ass"">Ethnologue</a>",Less than 10K,9900,ass,0,0,0,0
ast,Asturian,,"<a href=""https://www.ethnologue.com/language/ast"">Ethnologue</a>",10K to 1M,500000,ast,0,0,0,0
asu,"Asurini, Tocantins",,"<a href=""https://www.ethnologue.com/language/asu"">Ethnologue</a>",Less than 10K,9900,asu,0,0,0,0
asy,"Asmat, Yaosakor",,"<a href=""https://www.ethnologue.com/language/asy"">Ethnologue</a>",Less than 10K,9900,asy,0,0,0,0
ata,Pele-Ata,y,"<a href=""https://www.ethnologue.com/language/ata"">Ethnologue</a>",Less than 10K,9900,ata,1,1,0,1
atb,Zaiwa,y,"<a href=""https://www.ethnologue.com/language/atb"">Ethnologue</a>",10K to 1M,500000,atb,1,1,0,1
atd,"Manobo, Ata",,"<a href=""https://www.ethnologue.com/language/atd"">Ethnologue</a>",10K to 1M,500000,atd,0,0,0,0
atg,Ivbie North-Okpela-Arhe,y,"<a href=""https://www.ethnologue.com/language/atg"">Ethnologue</a>",10K to 1M,500000,atg,1,1,0,1
ati,Attié,y,"<a href=""https://www.ethnologue.com/language/ati"">Ethnologue</a>",10K to 1M,500000,ati,1,1,0,1
atk,Ati,,"<a href=""https://www.ethnologue.com/language/atk"">Ethnologue</a>",Less than 10K,9900,atk,0,0,0,0
ato,Atong,,"<a href=""https://www.ethnologue.com/language/ato"">Ethnologue</a>",Less than 10K,9900,ato,0,0,0,0
atp,"Atta, Pudtol",,"<a href=""https://www.ethnologue.com/language/atp"">Ethnologue</a>",Less than 10K,9900,atp,0,0,0,0
atq,Aralle-Tabulahan,y,"<a href=""https://www.ethnologue.com/language/atq"">Ethnologue</a>",10K to 1M,500000,atq,1,1,0,1
att,"Atta, Pamplona",,"<a href=""https://www.ethnologue.com/language/att"">Ethnologue</a>",Less than 10K,9900,att,0,0,0,0
